SITE,GUILD,s_site_mean,s_site_std,n_site_mean,n_site_std,c_site_mean,c_site_std,FAMILY,PR,CG,HB,CF,SH,PA,TAXON,GENUS_2,HERB,PLAN,DETR,INVE,PISC,BAYDIST_KM,STAID,LAT_GAGE,LNG_GAGE,PPTAVG_SITE,HIRES_LENTIC_DENS,NPDES_MAJ_DENS,RAW_DIS_NEAREST_MAJ_NPDES,RAW_DIS_NEAREST_DAM,ELEV_SITE_M,STANAME,LATITUDE,LONGITUDE,NEAREST_BAY,SULFUR,S_PERCENT,CARBON,NITROGEN,N_PERCENT,C_PERCENT,GENUS,MAX_FORKLENGTH,MY_REP,DETAILS,TRAY,UID,SOURCE_TYPE,SPECIES,TROPHIC_LEVEL,SITE_TYPE,MIGRANT,carbon_s,nitrogen_s,sulfur_s
BB,Aquatic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,Macrophyte,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baffin Bay,27.356,-97.695,NA,18.86,1.74,-21.79792417,8.691688155,2.01,34.43,NA,NA,3,NA,NA,TERRG_2020_01_BB_Aquatic_macrophyte_NA_3,macrophyte,NA,0,Estuary,Local Source,0,0,0
BB,Aquatic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,Macrophyte,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baffin Bay,27.356,-97.695,NA,17.42,0.24,-12.12476895,5.630198444,1.05,33.04,NA,NA,1,NA,NA,TERRG_2020_01_BB_Aquatic_macrophyte_NA_1,macrophyte,NA,0,Estuary,Local Source,0,0,0
BB,Aquatic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,Macrophyte,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baffin Bay,27.356,-97.695,NA,13.2,0.36,-14.33621201,8.156956231,1.04,45.48,NA,NA,2,NA,NA,TERRG_2020_01_BB_Aquatic_macrophyte_NA_2,macrophyte,NA,0,Estuary,Local Source,0,0,0
BB,Aquatic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,Algae,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baffin Bay,27.356,-97.695,NA,19.74,3.44,NA,NA,NA,NA,NA,NA,1,NA,NA,TERRG_2020_01_BB_Aquatic_filamentous_algae_NA_1,filamentous_algae,NA,0,Estuary,Local Source,0,0,0
BB,Aquatic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,Algae,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baffin Bay,27.356,-97.695,NA,16.58,0.37,-15.35775736,6.251369523,0.4,4.41,NA,NA,2,NA,NA,TERRG_2020_01_BB_Aquatic_filamentous_algae_NA_2,filamentous_algae,NA,0,Estuary,Local Source,0,0,0
BB,Aquatic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,Algae,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baffin Bay,27.356,-97.695,NA,17.72,2.84,-19.73993886,6.729815865,1.95,29.18,NA,NA,3,NA,NA,TERRG_2020_01_BB_Aquatic_filamentous_algae_NA_3,filamentous_algae,NA,0,Estuary,Local Source,0,0,0
BB,Detritus,NA,NA,5.675093106666667,0.8124825844019694,-14.642624383333333,0.6658414838141375,NA,0,0,0,0,0,0,Coarse Detritus,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baffin Bay,27.356,-97.695,NA,10.34,0.57,-13.88236293,4.850056007,2.24,33.56,NA,NA,1,NA,NA,TERRG_2020_01_BB_Detritus_coarse_detritus_NA_1,coarse_detritus,NA,0,Estuary,Local Source,1.141805477451375,-1.015452042303083,0
BB,Detritus,NA,NA,5.675093106666667,0.8124825844019694,-14.642624383333333,0.6658414838141375,NA,0,0,0,0,0,0,Coarse Detritus,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baffin Bay,27.356,-97.695,NA,4.69,0.42,-15.12198602,6.474410426,2.12,38.02,NA,NA,2,NA,NA,TERRG_2020_01_BB_Detritus_coarse_detritus_NA_2,coarse_detritus,NA,0,Estuary,Local Source,-0.7199335702557029,0.9837962495179804,0
NB,Aquatic,9.251666666666669,9.249976036004997,7.379303441666667,1.7769893036305562,-23.48131626,4.713734183191784,NA,0,0,0,0,0,0,Macrophyte,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nueces Bay,27.825,-97.47,NA,7.72,0.27,-23.6063615,8.913362121,1.58,39.4,NA,NA,2,NA,NA,TERRG_2020_01_NB_Aquatic_macrophyte_NA_2,macrophyte,NA,0,Estuary,Local Source,-0.02652785141043474,0.8632908910588868,-0.1655860145696317
NB,Aquatic,9.251666666666669,9.249976036004997,7.379303441666667,1.7769893036305562,-23.48131626,4.713734183191784,NA,0,0,0,0,0,0,Macrophyte,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nueces Bay,27.825,-97.47,NA,9.74,0.23,-14.77076617,5.082697783,0.85,42.14,NA,NA,3,NA,NA,TERRG_2020_01_NB_Aquatic_macrophyte_NA_3,macrophyte,NA,0,Estuary,Local Source,1.8479086328329772,-1.2924138901536917,0.05279292956354958
